GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_NAME	GO ASPECT
UniProtKB	Q60HG2	TOR1A	part_of	GO:0008021	synaptic vesicle	9541	Torsin-1A	C
UniProtKB	Q60HG2	TOR1A	part_of	GO:0008021	synaptic vesicle	9541	Torsin-1A	C
UniProtKB	Q60HH0	CLN3	part_of	GO:0008021	synaptic vesicle	9541	Battenin	C
UniProtKB	Q60PC0	unc-31	involved_in	GO:0016079	synaptic vesicle exocytosis	6238	Calcium-dependent secretion activator	P
UniProtKB	Q60PC0	unc-31	part_of	GO:0098793	presynapse	6238	Calcium-dependent secretion activator	C
UniProtKB	Q60PP8	cpx-1	involved_in	GO:0016079	synaptic vesicle exocytosis	6238	Putative complexin-1	P
UniProtKB	Q60PP8	cpx-1	part_of	GO:0043195	terminal bouton	6238	Putative complexin-1	C
UniProtKB	Q60WU2	snb-1	part_of	GO:0048786	presynaptic active zone	6238	Synaptobrevin-1	C
UniProtKB	Q60WU2	snb-1	part_of	GO:0008021	synaptic vesicle	6238	Synaptobrevin-1	C
UniProtKB	Q60WU2	snb-1	involved_in	GO:0016079	synaptic vesicle exocytosis	6238	Synaptobrevin-1	P
UniProtKB	Q60WU2	snb-1	part_of	GO:0030672	synaptic vesicle membrane	6238	Synaptobrevin-1	C
UniProtKB	Q61026	Ncoa2	part_of	GO:0048786	presynaptic active zone	10090	Nuclear receptor coactivator 2	C
UniProtKB	Q61086	Fzd3	colocalizes_with	GO:0048786	presynaptic active zone	10090	Frizzled-3	C
UniProtKB	Q61124	Cln3	part_of	GO:0008021	synaptic vesicle	10090	Battenin	C
UniProtKB	Q61124	Cln3	part_of	GO:0008021	synaptic vesicle	10090	Battenin	C
UniProtKB	Q61144	Psen2	part_of	GO:0008021	synaptic vesicle	10090	Presenilin-2	C
UniProtKB	Q61144	Psen2	part_of	GO:0099056	integral component of presynaptic membrane	10090	Presenilin-2	C
UniProtKB	Q61290	Cacna1e	enables	GO:0099626	voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	10090	Voltage-dependent R-type calcium channel subunit alpha-1E	F
UniProtKB	Q61290	Cacna1e	involved_in	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	10090	Voltage-dependent R-type calcium channel subunit alpha-1E	P
UniProtKB	Q61290	Cacna1e	part_of	GO:0099056	integral component of presynaptic membrane	10090	Voltage-dependent R-type calcium channel subunit alpha-1E	C
